MATRICULA;CODIGO_UNIDADE;CLASSE;CODIGO_UNIDADE_ENSINO_SISTEC;CODIGO_MUNICIPIO_DV;INSTITUICAO;JORNADA_TRABALHO;MUNICIPIO;NUMERO_REGISTROS;REGIAO;RSC;TITULACAO;UF;UNIDADE_LOTACAO;VINCULO_CARREIRA;VINCULO_CONTRATO;VINCULO_PROFESSOR
3000238;186;D;3522;1502707;IFPA;DE;Conceição do Araguaia;1;Região Norte;RSC III;Mestrado;PA;Campus Conceição do Araguaia;EBTT;Efetivo;Sim
3000248;1;D;3524;1500107;IFPA;DE;Abaetetuba;1;Região Norte;RSC III;Mestrado;PA;Campus Abaetetuba;EBTT;Efetivo;Sim
3000254;113;D;2914;1501402;IFPA;DE;Belém;1;Região Norte;-;Mestrado;PA;Campus Belém;EBTT;Efetivo;Sim
3000319;123;D;3526;1501709;IFPA;DE;Bragança;1;Região Norte;-;Especialização;PA;Campus Bragança;EBTT;Efetivo;Sim
3000440;139;D;32358;1502103;IFPA;DE;Cametá;1;Região Norte;RSC III;Mestrado;PA;Campus Cametá;EBTT;Efetivo;Sim
3000511;123;D;3526;1501709;IFPA;DE;Bragança;1;Região Norte;RSC III;Mestrado;PA;Campus Bragança;EBTT;Efetivo;Sim
3000520;139;D;32358;1502103;IFPA;DE;Cametá;1;Região Norte;RSC III;Mestrado;PA;Campus Cametá;EBTT;Efetivo;Sim
3000893;43;D;13863;1501808;IFPA;DE;Breves;1;Região Norte;RSC III;Mestrado;PA;Campus Breves;EBTT;Efetivo;Sim
3001702;702;D;32049;1508209;IFPA;40h;Vigia;1;Região Norte;-;Mestrado;PA;Campus Avançado Vigia;PCCTAE;Efetivo;Não
3001756;362;C;32357;1505502;IFPA;40h;Paragominas;1;Região Norte;-;Especialização;PA;Campus Paragominas;PCCTAE;Efetivo;Não
2900129;319;D;2919;1504208;IFPA;DE;Marabá;1;Região Norte;-;Doutorado;PA;Campus Marabá Industrial;EBTT;Efetivo;Sim
2900130;113;D;2914;1501402;IFPA;DE;Belém;1;Região Norte;-;Doutorado;PA;Campus Belém;EBTT;Efetivo;Sim
2900998;702;D;32049;1508209;IFPA;DE;Vigia;1;Região Norte;RSC III;Mestrado;PA;Campus Avançado Vigia;EBTT;Efetivo;Sim
3002170;43;D;13863;1501808;IFPA;DE;Breves;1;Região Norte;RSC III;Mestrado;PA;Campus Breves;EBTT;Efetivo;Sim
3002484;511;D;2918;1508100;IFPA;DE;Tucuruí;1;Região Norte;RSC III;Mestrado;PA;Campus Tucuruí;EBTT;Efetivo;Sim
3002578;266;D;13396;1503606;IFPA;DE;Itaituba;1;Região Norte;-;Especialização;PA;Campus Itaituba;EBTT;Efetivo;Sim
3002721;113;D;2914;1501402;IFPA;DE;Belém;1;Região Norte;RSC III;Mestrado;PA;Campus Belém;EBTT;Efetivo;Sim
3002743;161;D;2915;1502400;IFPA;DE;Castanhal;1;Região Norte;RSC III;Mestrado;PA;Campus Castanhal;EBTT;Efetivo;Sim
3002783;511;D;2918;1508100;IFPA;DE;Tucuruí;1;Região Norte;-;Doutorado;PA;Campus Tucuruí;EBTT;Efetivo;Sim
3002914;266;D;13396;1503606;IFPA;DE;Itaituba;1;Região Norte;-;Doutorado;PA;Campus Itaituba;EBTT;Efetivo;Sim
3002919;13;C;2916;1500602;IFPA;40h;Altamira;1;Região Norte;-;Especialização;PA;Campus Altamira;PCCTAE;Efetivo;Não
3003043;13;D;2916;1500602;IFPA;DE;Altamira;1;Região Norte;-;Mestrado;PA;Campus Altamira;EBTT;Efetivo;Sim
3003200;43;D;13863;1501808;IFPA;DE;Breves;1;Região Norte;RSC III;Mestrado;PA;Campus Breves;EBTT;Efetivo;Sim
3003354;123;D;3526;1501709;IFPA;DE;Bragança;1;Região Norte;RSC III;Mestrado;PA;Campus Bragança;EBTT;Efetivo;Sim
3003501;113;D;2914;1501402;IFPA;DE;Belém;1;Região Norte;RSC III;Mestrado;PA;Campus Belém;EBTT;Efetivo;Sim
3003518;1;D;3524;1500107;IFPA;DE;Abaetetuba;1;Região Norte;RSC II;Especialização;PA;Campus Abaetetuba;EBTT;Efetivo;Sim
3003602;1;D;3524;1500107;IFPA;DE;Abaetetuba;1;Região Norte;RSC II;Especialização;PA;Campus Abaetetuba;EBTT;Efetivo;Sim
3004471;1;E;3524;1500107;IFPA;25h;Abaetetuba;1;Região Norte;-;Especialização;PA;Campus Abaetetuba;PCCTAE;Efetivo;Não
3004577;13;D;2916;1500602;IFPA;DE;Altamira;1;Região Norte;RSC III;Mestrado;PA;Campus Altamira;EBTT;Efetivo;Sim
3004636;319;D;2919;1504208;IFPA;DE;Marabá;1;Região Norte;RSC III;Mestrado;PA;Campus Marabá Industrial;EBTT;Efetivo;Sim
3004654;320;D;2917;1504208;IFPA;40h;Marabá;1;Região Norte;-;Especialização;PA;Campus Marabá Rural;PCCTAE;Efetivo;Não
3005520;511;D;2918;1508100;IFPA;DE;Tucuruí;1;Região Norte;RSC III;Mestrado;PA;Campus Tucuruí;EBTT;Efetivo;Sim
3005831;319;C;2919;1504208;IFPA;40h;Marabá;1;Região Norte;-;Especialização;PA;Campus Marabá Industrial;PCCTAE;Efetivo;Não
3005893;266;D;13396;1503606;IFPA;DE;Itaituba;1;Região Norte;RSC II;Especialização;PA;Campus Itaituba;EBTT;Efetivo;Sim
3005933;320;D;2917;1504208;IFPA;DE;Marabá;1;Região Norte;-;Mestrado;PA;Campus Marabá Rural;EBTT;Efetivo;Sim
3356467;113;D;2914;1501402;IFPA;DE;Belém;1;Região Norte;RSC III;Mestrado;PA;Campus Belém;EBTT;Efetivo;Sim
3364482;444;D;13395;1506807;IFPA;DE;Santarém;1;Região Norte;RSC III;Mestrado;PA;Campus Santarém;EBTT;Efetivo;Sim
3369995;113;D;2914;1501402;IFPA;DE;Belém;1;Região Norte;RSC III;Mestrado;PA;Campus Belém;EBTT;Efetivo;Sim
3373898;1;D;3524;1500107;IFPA;40h;Abaetetuba;1;Região Norte;-;Mestrado;PA;Campus Abaetetuba;EBTT;Efetivo;Sim
6273408;113;D;2914;1501402;IFPA;40h;Belém;1;Região Norte;RSC I;Graduação;PA;Campus Belém;EBTT;Efetivo;Sim
6273422;113;D;2914;1501402;IFPA;DE;Belém;1;Região Norte;-;Doutorado;PA;Campus Belém;EBTT;Efetivo;Sim
3425560;113;D;2914;1501402;IFPA;40h;Belém;1;Região Norte;-;Doutorado;PA;Campus Belém;EBTT;Efetivo;Sim
6388717;161;D;2915;1502400;IFPA;40h;Castanhal;1;Região Norte;-;Mestrado;PA;Campus Castanhal;PCCTAE;Efetivo;Não
7273372;113;D;2914;1501402;IFPA;DE;Belém;1;Região Norte;-;Doutorado;PA;Campus Belém;EBTT;Efetivo;Sim
